year,state,category,cases,lag_1,lag_2,rolling_mean_3,growth_rate,state_encoded,category_encoded
2023,ASSAM,fraud,138.0,421.0,704.0,421.0,-0.672209026128266,3,5
2016,ASSAM,hate crime,5.0,0.0,0.0,0.0,0.0,3,6
2017,ASSAM,hate crime,2.0,5.0,0.0,0.0,-0.6,3,6
2018,ASSAM,hate crime,3.0,2.0,5.0,3.3333333333333335,0.5,3,6
2019,ASSAM,hate crime,3.0,3.0,2.0,2.6666666666666665,0.0,3,6
2020,ASSAM,hate crime,58.0,3.0,3.0,21.333333333333332,18.333333333333332,3,6
2021,ASSAM,hate crime,12.0,58.0,3.0,24.333333333333332,-0.7931034482758621,3,6
2022,ASSAM,hate crime,6.0,12.0,58.0,25.333333333333332,-0.5,3,6
2023,ASSAM,hate crime,0.0,6.0,12.0,6.0,-1.0,3,6
2016,ASSAM,illegal trade,0.0,0.0,0.0,0.0,0.0,3,7
2017,ASSAM,illegal trade,0.0,0.0,0.0,0.0,0.0,3,7
2018,ASSAM,illegal trade,0.0,0.0,0.0,0.0,0.0,3,7
2019,ASSAM,illegal trade,0.0,0.0,0.0,0.0,0.0,3,7
2020,ASSAM,illegal trade,0.0,0.0,0.0,0.0,0.0,3,7
2021,ASSAM,illegal trade,10.0,0.0,0.0,3.3333333333333335,inf,3,7
2022,ASSAM,illegal trade,5.0,10.0,0.0,5.0,-0.5,3,7
2023,ASSAM,illegal trade,0.0,5.0,10.0,5.0,-1.0,3,7
2016,ASSAM,personal revenge,329.0,0.0,0.0,0.0,0.0,3,8
2017,ASSAM,personal revenge,246.0,329.0,0.0,0.0,-0.2522796352583586,3,8
2018,ASSAM,personal revenge,239.0,246.0,329.0,271.3333333333333,-0.028455284552845517,3,8
2019,ASSAM,personal revenge,555.0,239.0,246.0,346.6666666666667,1.3221757322175733,3,8
2020,ASSAM,personal revenge,654.0,555.0,239.0,482.6666666666667,0.17837837837837833,3,8
2021,ASSAM,personal revenge,802.0,654.0,555.0,670.3333333333334,0.2262996941896025,3,8
2022,ASSAM,personal revenge,488.0,802.0,654.0,648.0,-0.39152119700748134,3,8
2023,ASSAM,personal revenge,174.0,488.0,802.0,488.0,-0.6434426229508197,3,8
2016,ASSAM,piracy,0.0,0.0,0.0,0.0,0.0,3,9
2017,ASSAM,piracy,0.0,0.0,0.0,0.0,0.0,3,9
2018,ASSAM,piracy,0.0,0.0,0.0,0.0,0.0,3,9
2019,ASSAM,piracy,0.0,0.0,0.0,0.0,0.0,3,9
2020,ASSAM,piracy,0.0,0.0,0.0,0.0,0.0,3,9
2021,ASSAM,piracy,0.0,0.0,0.0,0.0,0.0,3,9
2022,ASSAM,piracy,1.0,0.0,0.0,0.3333333333333333,inf,3,9
2023,ASSAM,piracy,2.0,1.0,0.0,1.0,1.0,3,9
2016,ASSAM,political motive,10.0,0.0,0.0,0.0,0.0,3,10
2017,ASSAM,political motive,10.0,10.0,0.0,0.0,0.0,3,10
2018,ASSAM,political motive,9.0,10.0,10.0,9.666666666666666,-0.09999999999999998,3,10
2019,ASSAM,political motive,16.0,9.0,10.0,11.666666666666666,0.7777777777777777,3,10
2020,ASSAM,political motive,24.0,16.0,9.0,16.333333333333332,0.5,3,10
2021,ASSAM,political motive,112.0,24.0,16.0,50.666666666666664,3.666666666666667,3,10
2022,ASSAM,political motive,57.5,112.0,24.0,64.5,-0.4866071428571429,3,10
2023,ASSAM,political motive,3.0,57.5,112.0,57.5,-0.9478260869565217,3,10
2016,ASSAM,prank,1.0,0.0,0.0,0.0,0.0,3,11
2017,ASSAM,prank,40.0,1.0,0.0,0.0,39.0,3,11
2018,ASSAM,prank,0.0,40.0,1.0,13.666666666666666,-1.0,3,11
2019,ASSAM,prank,14.0,0.0,40.0,18.0,inf,3,11
2020,ASSAM,prank,35.0,14.0,0.0,16.333333333333332,1.5,3,11
2021,ASSAM,prank,34.0,35.0,14.0,27.666666666666668,-0.02857142857142858,3,11
2022,ASSAM,prank,20.0,34.0,35.0,29.666666666666668,-0.4117647058823529,3,11
2023,ASSAM,prank,6.0,20.0,34.0,20.0,-0.7,3,11
2016,ASSAM,sexual exploitation,41.0,0.0,0.0,0.0,0.0,3,12
2017,ASSAM,sexual exploitation,217.0,41.0,0.0,0.0,4.2926829268292686,3,12
2018,ASSAM,sexual exploitation,113.0,217.0,41.0,123.66666666666667,-0.47926267281105994,3,12
2019,ASSAM,sexual exploitation,289.0,113.0,217.0,206.33333333333334,1.5575221238938055,3,12
2020,ASSAM,sexual exploitation,483.0,289.0,113.0,295.0,0.6712802768166091,3,12
2021,ASSAM,sexual exploitation,1147.0,483.0,289.0,639.6666666666666,1.3747412008281574,3,12
2022,ASSAM,sexual exploitation,603.0,1147.0,483.0,744.3333333333334,-0.4742807323452485,3,12
2023,ASSAM,sexual exploitation,59.0,603.0,1147.0,603.0,-0.9021558872305141,3,12
2017,ASSAM,terrorism,88.0,0.0,0.0,0.0,0.0,3,13
2018,ASSAM,terrorism,4.0,88.0,0.0,0.0,-0.9545454545454546,3,13
2019,ASSAM,terrorism,54.0,4.0,88.0,48.666666666666664,12.5,3,13
2020,ASSAM,terrorism,0.0,54.0,4.0,19.333333333333332,-1.0,3,13
2021,ASSAM,terrorism,3.0,0.0,54.0,19.0,inf,3,13
2022,ASSAM,terrorism,1.5,3.0,0.0,1.5,-0.5,3,13
2023,ASSAM,terrorism,0.0,1.5,3.0,1.5,-1.0,3,13
2017,BIHAR,abetment suicide,0.0,0.0,0.0,0.0,0.0,4,1
2018,BIHAR,abetment suicide,0.0,0.0,0.0,0.0,0.0,4,1
