state,year,category,cases
DADRA AND NAGAR HAVELI,2019,emotional motive,0.0
DADRA AND NAGAR HAVELI,2019,extortion,0.0
DADRA AND NAGAR HAVELI,2019,fraud,0.0
DADRA AND NAGAR HAVELI,2019,hate crime,0.0
DADRA AND NAGAR HAVELI,2019,illegal trade,0.0
DADRA AND NAGAR HAVELI,2019,personal revenge,0.0
DADRA AND NAGAR HAVELI,2019,piracy,0.0
DADRA AND NAGAR HAVELI,2019,political motive,0.0
DADRA AND NAGAR HAVELI,2019,prank,0.0
DADRA AND NAGAR HAVELI,2019,sexual exploitation,0.0
DADRA AND NAGAR HAVELI,2019,terrorism,0.0
DADRA AND NAGAR HAVELI,2020,abetment suicide,0.0
DADRA AND NAGAR HAVELI,2020,data theft,0.0
DADRA AND NAGAR HAVELI,2020,emotional motive,0.0
DADRA AND NAGAR HAVELI,2020,extortion,0.0
DADRA AND NAGAR HAVELI,2020,fraud,0.0
DADRA AND NAGAR HAVELI,2020,hate crime,0.0
DADRA AND NAGAR HAVELI,2020,illegal trade,0.0
DADRA AND NAGAR HAVELI,2020,personal revenge,0.0
DADRA AND NAGAR HAVELI,2020,piracy,0.0
DADRA AND NAGAR HAVELI,2020,political motive,0.0
DADRA AND NAGAR HAVELI,2020,prank,0.0
DADRA AND NAGAR HAVELI,2020,sexual exploitation,3.0
DADRA AND NAGAR HAVELI,2020,terrorism,0.0
DADRA AND NAGAR HAVELI,2021,abetment suicide,0.0
DADRA AND NAGAR HAVELI,2021,data theft,0.0
DADRA AND NAGAR HAVELI,2021,emotional motive,0.0
DADRA AND NAGAR HAVELI,2021,extortion,0.0
DADRA AND NAGAR HAVELI,2021,fraud,1.0
DADRA AND NAGAR HAVELI,2021,hate crime,0.0
DADRA AND NAGAR HAVELI,2021,illegal trade,0.0
DADRA AND NAGAR HAVELI,2021,personal revenge,0.0
DADRA AND NAGAR HAVELI,2021,piracy,0.0
DADRA AND NAGAR HAVELI,2021,political motive,0.0
DADRA AND NAGAR HAVELI,2021,prank,0.0
DADRA AND NAGAR HAVELI,2021,sexual exploitation,4.0
DADRA AND NAGAR HAVELI,2021,terrorism,0.0
DADRA AND NAGAR HAVELI,2023,abetment suicide,0.0
DADRA AND NAGAR HAVELI,2023,data theft,0.0
DADRA AND NAGAR HAVELI,2023,emotional motive,0.0
DADRA AND NAGAR HAVELI,2023,extortion,0.0
DADRA AND NAGAR HAVELI,2023,fraud,0.0
DADRA AND NAGAR HAVELI,2023,hate crime,0.0
DADRA AND NAGAR HAVELI,2023,illegal trade,0.0
DADRA AND NAGAR HAVELI,2023,personal revenge,0.0
DADRA AND NAGAR HAVELI,2023,piracy,0.0
DADRA AND NAGAR HAVELI,2023,political motive,0.0
DADRA AND NAGAR HAVELI,2023,prank,0.0
DADRA AND NAGAR HAVELI,2023,sexual exploitation,5.0
DADRA AND NAGAR HAVELI,2023,terrorism,0.0
DAMAN AND DIU,2016,data theft,0.0
DAMAN AND DIU,2016,extortion,0.0
DAMAN AND DIU,2016,hate crime,0.0
DAMAN AND DIU,2016,illegal trade,0.0
DAMAN AND DIU,2016,personal revenge,0.0
DAMAN AND DIU,2016,piracy,0.0
DAMAN AND DIU,2016,political motive,0.0
